Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
22:29:20 Mar 06 2025,95,78,0,0,0
22:29:24 Mar 06 2025,95,78,6,0,0
22:29:28 Mar 06 2025,95,79,5,0,0
22:29:32 Mar 06 2025,95,78,1,0,0
22:29:36 Mar 06 2025,95,80,1,0,0
22:29:40 Mar 06 2025,96,82,2,0,0
22:29:44 Mar 06 2025,96,77,1,0,0
22:29:48 Mar 06 2025,97,79,1,0,0
22:29:52 Mar 06 2025,97,79,2,0,0
22:29:56 Mar 06 2025,97,76,1,0,0
22:30:00 Mar 06 2025,97,76,1,0,0
22:30:04 Mar 06 2025,96,73,1,0,0
22:30:08 Mar 06 2025,96,74,1,0,0
22:30:12 Mar 06 2025,95,75,1,0,0
22:30:16 Mar 06 2025,94,74,1,0,0
22:30:20 Mar 06 2025,94,72,2,0,0
22:30:24 Mar 06 2025,94,72,2,0,0
22:30:28 Mar 06 2025,94,72,2,0,0
22:30:32 Mar 06 2025,93,74,1,0,0
22:30:36 Mar 06 2025,94,77,1,0,0
22:30:40 Mar 06 2025,93,78,1,0,0
22:30:44 Mar 06 2025,92,77,1,0,0
22:30:48 Mar 06 2025,91,75,2,0,0
22:30:52 Mar 06 2025,90,76,1,0,0
22:30:56 Mar 06 2025,90,77,1,0,0
22:31:00 Mar 06 2025,90,77,1,0,0
22:31:04 Mar 06 2025,90,77,1,0,0
22:31:08 Mar 06 2025,90,76,1,0,0
22:31:12 Mar 06 2025,90,76,1,0,0
22:31:16 Mar 06 2025,90,76,1,0,0
22:31:20 Mar 06 2025,90,76,1,0,0
22:31:24 Mar 06 2025,90,78,1,0,0
22:31:28 Mar 06 2025,90,79,1,0,0
22:31:32 Mar 06 2025,91,79,0,0,0
22:31:36 Mar 06 2025,91,78,1,0,0
22:31:40 Mar 06 2025,91,77,1,0,0
22:31:44 Mar 06 2025,91,77,2,0,0
22:31:48 Mar 06 2025,91,78,1,0,0
22:31:52 Mar 06 2025,91,78,1,0,0
22:31:56 Mar 06 2025,91,78,1,0,0
22:32:00 Mar 06 2025,91,78,1,0,0
22:32:04 Mar 06 2025,91,78,1,0,0
22:32:08 Mar 06 2025,92,76,2,0,0
22:32:12 Mar 06 2025,92,77,1,0,0
22:32:16 Mar 06 2025,92,78,1,0,0
22:32:20 Mar 06 2025,91,78,1,0,0
22:32:24 Mar 06 2025,91,81,1,0,0
22:32:28 Mar 06 2025,93,79,1,0,0
22:32:32 Mar 06 2025,95,75,1,0,0
22:32:36 Mar 06 2025,95,74,1,0,0
22:32:40 Mar 06 2025,94,74,1,0,0
22:32:44 Mar 06 2025,94,75,1,0,0
22:32:48 Mar 06 2025,93,73,1,0,0
22:32:52 Mar 06 2025,94,74,1,0,0
22:32:56 Mar 06 2025,93,74,1,0,0
22:33:00 Mar 06 2025,93,74,1,0,0
22:33:04 Mar 06 2025,93,74,1,0,0
22:33:08 Mar 06 2025,93,74,1,0,0
22:33:12 Mar 06 2025,93,73,1,0,0
22:33:16 Mar 06 2025,93,73,1,0,0
22:33:20 Mar 06 2025,92,75,1,0,0
22:33:24 Mar 06 2025,93,75,1,0,0
22:33:28 Mar 06 2025,93,74,1,0,0
22:33:32 Mar 06 2025,92,74,1,0,0
22:33:36 Mar 06 2025,92,74,1,0,0
22:33:40 Mar 06 2025,92,75,1,0,0
22:33:44 Mar 06 2025,93,74,5,0,0
22:33:48 Mar 06 2025,93,67,1,0,0
22:33:52 Mar 06 2025,94,67,1,0,0
22:33:56 Mar 06 2025,94,67,20,0,0
22:34:00 Mar 06 2025,95,74,1,0,0
22:34:04 Mar 06 2025,95,73,1,0,0
22:34:08 Mar 06 2025,94,75,2,0,0
22:34:12 Mar 06 2025,93,74,2,0,0
22:34:16 Mar 06 2025,93,75,1,0,0
22:34:20 Mar 06 2025,93,75,1,0,0
22:34:24 Mar 06 2025,94,78,1,0,0
22:34:28 Mar 06 2025,94,77,1,0,0
22:34:32 Mar 06 2025,94,75,2,0,0
22:34:36 Mar 06 2025,94,75,1,0,0
22:34:40 Mar 06 2025,93,76,1,0,0
22:34:44 Mar 06 2025,93,77,1,0,0
22:34:48 Mar 06 2025,93,78,1,0,0
22:34:52 Mar 06 2025,93,78,1,0,0
22:34:56 Mar 06 2025,93,78,1,0,0
22:35:00 Mar 06 2025,92,78,1,0,0
22:35:04 Mar 06 2025,92,77,1,0,0
22:35:08 Mar 06 2025,93,77,4,0,0
22:35:12 Mar 06 2025,93,77,2,0,0
22:35:16 Mar 06 2025,93,77,0,0,0
22:35:20 Mar 06 2025,94,79,0,0,0
22:35:24 Mar 06 2025,94,78,0,0,0
22:35:28 Mar 06 2025,95,78,0,0,0
22:35:32 Mar 06 2025,95,83,0,0,0
22:35:36 Mar 06 2025,94,83,0,0,0
22:35:40 Mar 06 2025,94,80,0,0,0
22:35:44 Mar 06 2025,95,78,1,0,0
22:35:48 Mar 06 2025,96,77,0,0,0
22:35:52 Mar 06 2025,96,78,0,0,0
22:35:56 Mar 06 2025,95,75,0,0,0
22:36:00 Mar 06 2025,95,73,0,0,0
22:36:04 Mar 06 2025,95,76,0,0,0
22:36:08 Mar 06 2025,95,76,0,0,0
22:36:12 Mar 06 2025,95,74,0,0,0
22:36:16 Mar 06 2025,95,77,0,0,0
22:36:20 Mar 06 2025,95,79,0,0,0
22:36:24 Mar 06 2025,94,78,0,0,0
22:36:28 Mar 06 2025,95,74,0,0,0
22:36:32 Mar 06 2025,96,73,0,0,0
22:36:36 Mar 06 2025,97,72,0,0,0
22:36:40 Mar 06 2025,97,73,0,0,0
22:36:44 Mar 06 2025,96,71,0,0,0
22:36:48 Mar 06 2025,96,71,0,0,0
22:36:52 Mar 06 2025,95,71,0,0,0
22:36:56 Mar 06 2025,95,71,0,0,0
22:37:00 Mar 06 2025,94,71,0,0,0
22:37:04 Mar 06 2025,94,71,0,0,0
22:37:08 Mar 06 2025,94,72,0,0,0
22:37:12 Mar 06 2025,93,73,0,0,0
22:37:16 Mar 06 2025,93,74,0,0,0
22:37:20 Mar 06 2025,92,75,1,0,0
22:37:24 Mar 06 2025,93,74,1,0,0
22:37:28 Mar 06 2025,94,73,1,0,0
22:37:32 Mar 06 2025,94,72,1,0,0
22:37:36 Mar 06 2025,93,73,0,0,0
22:37:40 Mar 06 2025,91,74,1,0,0
22:37:44 Mar 06 2025,91,73,1,0,0
22:37:48 Mar 06 2025,91,72,1,0,0
22:37:52 Mar 06 2025,90,74,1,0,0
22:37:56 Mar 06 2025,91,75,1,0,0
22:38:00 Mar 06 2025,92,73,1,0,0
22:38:04 Mar 06 2025,93,71,1,0,0
22:38:08 Mar 06 2025,93,71,1,0,0
22:38:12 Mar 06 2025,96,70,1,0,0
22:38:16 Mar 06 2025,96,71,1,0,0
22:38:20 Mar 06 2025,94,73,1,0,0
22:38:24 Mar 06 2025,93,74,2,0,0
22:38:28 Mar 06 2025,94,76,1,0,0
22:38:32 Mar 06 2025,95,77,1,0,0
22:38:36 Mar 06 2025,95,76,1,0,0
22:38:40 Mar 06 2025,95,75,6,0,0
22:38:44 Mar 06 2025,95,75,2,0,0
22:38:48 Mar 06 2025,94,77,1,0,0
22:38:52 Mar 06 2025,94,79,0,0,0
22:38:56 Mar 06 2025,95,77,1,0,0
22:39:00 Mar 06 2025,94,73,1,0,0
22:39:04 Mar 06 2025,94,70,1,0,0
22:39:08 Mar 06 2025,93,71,1,0,0
22:39:12 Mar 06 2025,93,73,1,0,0
22:39:16 Mar 06 2025,92,74,1,0,0
22:39:20 Mar 06 2025,92,73,0,0,0
22:39:24 Mar 06 2025,93,70,1,0,0
22:39:28 Mar 06 2025,93,71,1,0,0
22:39:32 Mar 06 2025,92,74,1,0,0
22:39:36 Mar 06 2025,93,76,1,0,0
22:39:40 Mar 06 2025,93,76,1,0,0
22:39:44 Mar 06 2025,94,75,1,0,0
22:39:48 Mar 06 2025,94,75,1,0,0
22:39:52 Mar 06 2025,93,75,1,0,0
22:39:56 Mar 06 2025,92,75,1,0,0
22:40:00 Mar 06 2025,92,75,1,0,0
22:40:04 Mar 06 2025,92,76,1,0,0
22:40:08 Mar 06 2025,93,77,1,0,0
22:40:12 Mar 06 2025,94,77,1,0,0
22:40:16 Mar 06 2025,93,76,1,0,0
22:40:20 Mar 06 2025,93,75,1,0,0
22:40:24 Mar 06 2025,92,75,2,0,0
22:40:28 Mar 06 2025,91,75,1,0,0
22:40:32 Mar 06 2025,90,75,3,0,0
22:40:36 Mar 06 2025,89,76,16,0,0
22:40:40 Mar 06 2025,90,75,1,0,0
22:40:44 Mar 06 2025,93,74,1,0,0
22:40:48 Mar 06 2025,94,76,0,0,0
22:40:52 Mar 06 2025,93,78,1,0,0
